No.,Time,Source,Destination,Protocol,Length,Info
398,12.731181,08a80261-c5aa-41f0-ba42-5d02586628ad.local,192.168.101.171,DNS,75,Standard query 0xf999 A www.dropbox.com
399,12.732086,08a80261-c5aa-41f0-ba42-5d02586628ad.local,192.168.101.171,DNS,75,Standard query 0x1f79 HTTPS www.dropbox.com
404,12.781134,192.168.101.171,08a80261-c5aa-41f0-ba42-5d02586628ad.local,DNS,174,Standard query response 0x1f79 HTTPS www.dropbox.com CNAME www-env.dropbox-dns.com SOA dns1.p06.nsone.net
407,12.782145,192.168.101.171,08a80261-c5aa-41f0-ba42-5d02586628ad.local,DNS,125,Standard query response 0xf999 A www.dropbox.com CNAME www-env.dropbox-dns.com A 162.125.65.18
409,12.783669,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,66,52043  >  https(443) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
417,12.83076,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TCP,66,"https(443)  >  52043 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=512"
418,12.831,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,54,52043  >  https(443) [ACK] Seq=1 Ack=1 Win=66560 Len=0
419,12.832981,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TLSv1.2,571,Client Hello
430,12.875563,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TCP,54,https(443)  >  52043 [ACK] Seq=1 Ack=518 Win=66560 Len=0
431,12.877811,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TLSv1.2,2774,Server Hello
432,12.877811,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TLSv1.2,694,"Certificate, Server Key Exchange, Server Hello Done"
433,12.878024,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,54,52043  >  https(443) [ACK] Seq=518 Ack=3361 Win=66560 Len=0
434,12.88162,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Finished"
435,12.882021,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,HTTP2,153,"Magic, SETTINGS[0], WINDOW_UPDATE[0]"
436,12.882511,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,1414,52043  >  https(443) [ACK] Seq=710 Ack=3361 Win=66560 Len=1360 [TCP segment of a reassembled PDU]
437,12.882511,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,HTTP2,583,HEADERS[1]: GET /home
444,12.93133,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TLSv1.2,312,"New Session Ticket, Change Cipher Spec, Finished"
445,12.93133,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,HTTP2,138,"SETTINGS[0], SETTINGS[0], WINDOW_UPDATE[0]"
446,12.931434,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,54,52043  >  https(443) [ACK] Seq=2599 Ack=3703 Win=66048 Len=0
447,12.933819,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,HTTP2,92,SETTINGS[0]
448,12.935798,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TCP,54,https(443)  >  52043 [ACK] Seq=3703 Ack=2599 Win=66048 Len=0
459,13.017528,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TCP,54,https(443)  >  52043 [ACK] Seq=3703 Ack=2637 Win=66560 Len=0
462,13.161766,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,TCP,1414,https(443)  >  52043 [ACK] Seq=3703 Ack=2637 Win=66560 Len=1360 [TCP segment of a reassembled PDU]
463,13.161766,www-env.dropbox-dns.com,08a80261-c5aa-41f0-ba42-5d02586628ad.local,HTTP2,531,"HEADERS[1]: 302 Found, DATA[1], HEADERS[1] (text/html)"
464,13.16188,08a80261-c5aa-41f0-ba42-5d02586628ad.local,www-env.dropbox-dns.com,TCP,54,52043  >  https(443) [ACK] Seq=2637 Ack=5540 Win=66560 Len=0
